,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,age
19,20150424,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,47.3343,-122.306,46
20,20140514,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,47.7025,-122.34100000000001,67
21,20140826,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,47.5316,-122.23299999999999,46
22,20140703,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,47.3266,-122.169,19
23,20140516,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,47.3533,-122.166,29
24,20141120,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,47.3739,-122.17200000000001,29
25,20141103,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,47.3048,-122.21799999999999,73
26,20140626,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,47.6386,-122.36,99
27,20141201,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,47.6221,-122.314,105
28,20140624,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,47.695,-122.304,66
29,20150302,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,47.7073,-122.11,10
30,20141110,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,47.5391,-122.07,11
31,20141201,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,47.7274,-122.35700000000001,9
32,20140624,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,47.6823,-122.368,85
33,20141110,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,47.6889,-122.375,85
34,20141203,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,47.4276,-122.15700000000001,33
35,20140613,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,47.6827,-122.31,12
36,20140528,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,47.6621,-122.132,81
37,20141230,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,47.6702,-122.36200000000001,110
38,20150213,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,47.3341,-122.28200000000001,46
39,20140620,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,47.5301,-122.18,18
40,20140715,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,47.6145,-122.027,14
41,20140811,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,47.445,-122.34700000000001,30
42,20140707,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,47.6848,-122.016,0
43,20141028,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,47.6413,-122.36399999999999,92
44,20140729,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,47.4485,-122.175,55
45,20140718,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,47.7443,-121.977,11
46,20150325,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,47.3066,-122.37100000000001,49
47,20140716,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,47.6194,-122.15100000000001,33
48,20150428,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,47.6796,-122.301,62
49,20150311,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,47.4041,-122.45100000000001,62
50,20140916,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,47.4258,-122.322,59
51,20150217,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,47.4934,-122.189,49
52,20141231,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,47.6808,-122.384,64
53,20150205,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,47.6989,-122.369,34
54,20150303,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,47.6571,-122.281,88
55,20140512,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,47.6597,-122.29,19
56,20140819,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,47.3663,-122.11399999999999,6
57,20150407,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,47.3663,-122.12200000000001,12
58,20140827,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,47.588,-122.116,46
59,20150223,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,47.5059,-122.149,24
60,20141210,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,47.4336,-122.339,55
61,20140828,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,47.4366,-122.335,60
62,20141021,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,47.4428,-122.344,41
63,20141207,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,47.6765,-122.32,0
64,20140603,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,47.6113,-122.29700000000001,35
65,20141120,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,47.5747,-122.304,89
66,20140909,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,47.5815,-122.19200000000001,25
67,20141009,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,47.3378,-122.257,9
68,20140825,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,47.3621,-122.11,46
69,20140612,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,47.6303,-122.215,49
70,20140912,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,47.6525,-122.16,41
71,20150105,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,47.7362,-122.179,43
72,20140610,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,47.7168,-122.287,98
73,20140710,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,47.3608,-122.036,9
74,20150316,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,47.3511,-122.073,50
75,20141105,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,47.5822,-121.98700000000001,28
76,20141013,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,47.6034,-122.125,58
77,20150420,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,47.5636,-122.39399999999999,74
78,20140609,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,47.7073,-122.34,58
79,20150323,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,47.342,-122.025,13
80,20141202,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,47.3512,-122.008,11
81,20141222,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,47.349,-122.031,22
82,20141028,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,47.5474,-122.291,66
83,20150128,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,47.4811,-122.149,51
84,20140602,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,47.7264,-122.31,62
85,20141114,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,47.6337,-122.365,89
86,20141103,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,47.2909,-122.189,53
87,20140618,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,47.5228,-122.199,8
88,20140519,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,47.518,-122.194,35
89,20140904,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,47.5394,-122.387,8
90,20140522,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,47.2897,-122.37200000000001,26
91,20150311,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,47.6506,-122.391,14
92,20150226,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,47.321999999999996,-122.351,53
93,20140725,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,47.687,-122.38600000000001,75
94,20141223,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,47.687,-122.38600000000001,75
95,20140908,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,47.5873,-122.249,23
96,20150330,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,47.3576,-122.277,48
97,20140912,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,47.3036,-122.37799999999999,39
98,20140711,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,47.4109,-121.958,34
99,20140516,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,47.4838,-121.714,22
100,20140611,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,47.6415,-122.315,104
101,20141027,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,47.6775,-122.37200000000001,85
102,20141212,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,47.7731,-122.08,31
103,20141007,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,47.5814,-122.196,4
104,20140924,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,47.4375,-122.184,60
105,20150402,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,47.4431,-122.133,37
106,20140523,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,47.6878,-122.38,75
107,20140723,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,47.3813,-122.322,29
108,20150305,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,47.7304,-122.08200000000001,24
109,20140827,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,47.6417,-122.109,72
110,20140725,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,47.5386,-122.053,30
111,20150304,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,47.6823,-122.34899999999999,110
112,20140916,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,47.3624,-122.031,34
113,20141124,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,47.5474,-122.295,43
114,20141028,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,47.3183,-122.25299999999999,13
115,20141121,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,47.6981,-122.368,15
116,20140626,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,47.6824,-122.34700000000001,4
117,20140623,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,47.5009,-122.24799999999999,69
118,20150108,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,47.4965,-122.303,65
119,20150511,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,47.586999999999996,-122.294,90
120,20150102,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,47.7728,-122.38600000000001,51
121,20141119,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,47.7288,-122.226,27
122,20150406,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,47.6999,-122.36399999999999,62
123,20141104,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,47.5299,-122.266,90
124,20140618,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,47.6897,-122.098,24
125,20150302,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,47.6141,-122.212,23
126,20140717,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,47.5091,-122.244,47
127,20140717,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,47.3129,-122.39,36
128,20140613,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,47.6763,-122.352,88
129,20150406,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,47.5319,-121.85,11
130,20150105,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,47.2761,-122.152,29
131,20150428,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,47.5343,-122.054,29
132,20140612,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,47.696999999999996,-122.072,25
133,20140512,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,47.5517,-121.99799999999999,0
134,20150126,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,47.6734,-122.38,10
135,20140813,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,47.3257,-122.296,58
136,20140805,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,47.3309,-122.29899999999999,46
137,20140529,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,47.7689,-122.266,46
138,20140707,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,47.7135,-122.287,33
139,20140507,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,47.6722,-122.381,0
140,20140627,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,47.6338,-122.35799999999999,89
141,20140708,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,47.5707,-122.12799999999999,46
142,20150508,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,47.4563,-122.171,53
143,20150415,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,47.7144,-122.351,92
144,20150227,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,47.5495,-122.17399999999999,54
145,20141203,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,47.7421,-122.02600000000001,20
146,20140625,890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,47.6354,-122.353,109
147,20140806,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,47.5262,-121.943,7
148,20141030,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,47.3887,-122.286,54
149,20141104,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,47.6873,-122.336,67
150,20140820,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,47.6838,-122.353,24
151,20150409,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,47.655,-122.359,68
152,20150331,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,47.3255,-122.304,61
153,20150401,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,47.562,-122.162,9
154,20140516,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,47.678999999999995,-122.3,72
155,20140728,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,47.4479,-122.176,47
156,20141120,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,47.525,-122.17200000000001,18
157,20140807,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,47.3135,-122.369,47
158,20141113,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,47.2086,-121.99600000000001,1
159,20141003,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,47.4715,-122.118,46
160,20140507,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,47.4877,-122.335,52
161,20150309,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,47.7171,-122.193,53
162,20150304,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,47.6012,-122.023,15
163,20140620,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,47.7319,-122.22399999999999,35
164,20140812,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,47.4582,-122.023,39
165,20141208,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,47.7209,-122.16799999999999,38
166,20150219,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,47.408,-122.32700000000001,66
167,20150324,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,47.565,-122.125,16
168,20140605,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,47.7028,-122.23100000000001,35
169,20140611,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,47.7458,-122.331,50
170,20150316,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,47.4776,-122.337,61
171,20150102,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,47.3026,-122.374,37
172,20140502,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,47.7658,-122.339,59
173,20150116,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,47.6477,-122.182,31
174,20140929,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,47.5619,-122.125,34
175,20150210,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,47.6106,-122.31,7
176,20140709,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,47.5868,-122.30799999999999,28
177,20140530,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,47.6101,-122.307,113
178,20141117,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,47.1976,-121.999,39
179,20150107,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,47.7224,-122.35799999999999,66
180,20140725,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,47.3505,-122.179,26
181,20150414,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,47.5384,-122.376,90
182,20140613,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,47.7044,-122.2,53
183,20140723,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,47.3848,-122.039,18
184,20140905,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,47.6993,-122.102,21
185,20141121,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,47.6627,-122.18799999999999,28
186,20150415,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,47.3099,-122.37899999999999,46
187,20140505,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,47.62,-122.04299999999999,27
188,20150418,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,47.65,-122.34,114
189,20141205,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,47.6647,-122.15299999999999,39
190,20140818,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,47.726000000000006,-122.191,37
191,20141105,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,47.4616,-122.184,55
192,20140912,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,47.5505,-122.219,55
193,20140625,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,47.7606,-122.336,52
194,20141201,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,47.7481,-122.3,66
195,20140515,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,47.2779,-122.34700000000001,11
196,20141111,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,47.5511,-122.31200000000001,94
197,20140723,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,47.5488,-122.37200000000001,7
198,20150113,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,47.5385,-121.911,18
199,20141014,385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,47.4058,-121.994,45
200,20150311,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,47.5093,-122.184,72
201,20141112,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,47.3777,-122.165,20
202,20140716,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,47.675,-122.39399999999999,62
203,20140804,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,47.3025,-122.37,38
204,20150303,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,47.4787,-122.15799999999999,53
205,20140804,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,47.5378,-122.219,48
206,20140919,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,47.7073,-122.11399999999999,4
207,20150205,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,47.5733,-122.381,100
208,20141123,180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0,47.4604,-122.339,73
209,20140717,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,47.7067,-122.34299999999999,20
210,20150422,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,47.354,-122.04700000000001,22
211,20140717,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,47.6647,-122.28399999999999,0
212,20140515,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,47.6143,-122.01700000000001,31
213,20150114,465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,47.3185,-122.275,10
214,20140527,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,47.5458,-122.26799999999999,36
215,20150115,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,47.4889,-122.29899999999999,92
216,20150221,1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,47.5673,-122.21,24
217,20140703,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,47.5133,-122.37899999999999,14
218,20140828,1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,47.5884,-122.291,67
219,20141023,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,47.7145,-122.367,67
220,20140822,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,47.5836,-122.02600000000001,15
221,20140605,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,47.398,-122.29899999999999,53
222,20140904,527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,47.7663,-122.215,27
223,20140918,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,47.3758,-122.21700000000001,48
224,20140903,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,47.3828,-122.023,20
225,20140604,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,47.5123,-122.37299999999999,72
226,20150309,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,47.7076,-122.01299999999999,10
227,20140529,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,47.2922,-122.37100000000001,36
228,20150115,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,47.4075,-122.214,54
229,20150303,516500.0,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,47.6794,-122.03399999999999,11
230,20150413,655000.0,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,47.4497,-122.375,37
231,20140616,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,47.5218,-122.164,54
232,20141121,315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,47.3103,-122.339,36
233,20141120,213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,47.5687,-121.899,53
234,20140902,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,47.5575,-122.303,67
235,20140610,1025000.0,5,4.0,3760,28040,2.0,0,0,3,10,3760,0,47.6489,-122.18299999999999,31
236,20150409,416000.0,3,2.0,2220,94300,1.0,0,0,5,7,1640,580,47.3459,-121.95,39
237,20150320,410000.0,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,47.6136,-122.303,10
238,20140701,800000.0,3,3.5,3830,221284,2.0,0,0,3,10,3530,300,47.7641,-122.023,21
239,20140529,472000.0,6,2.5,4410,14034,1.0,0,2,4,9,2350,2060,47.3376,-122.324,49
240,20141208,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,47.3173,-122.319,46
241,20141001,210000.0,2,1.0,830,6000,1.0,0,0,3,6,830,0,47.5308,-122.376,74
242,20150127,455000.0,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,47.6727,-122.29899999999999,90
243,20150427,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,47.3221,-122.21600000000001,61
244,20140826,480000.0,2,1.0,1030,3060,1.0,0,2,4,7,790,240,47.6779,-122.353,96
245,20150212,363000.0,3,2.5,2740,11872,2.0,0,0,3,9,2740,0,47.3076,-122.395,25
246,20140929,2400000.0,4,2.5,3650,8354,1.0,1,4,3,9,1830,1820,47.6338,-122.072,14
247,20150226,181000.0,2,1.5,720,5120,1.0,0,0,3,6,720,0,47.5218,-122.35700000000001,61
248,20150314,250000.0,4,2.0,2010,7312,1.0,0,0,4,7,2010,0,47.2785,-122.213,39
249,20150422,481000.0,3,1.75,1560,3000,1.0,0,0,4,6,770,790,47.6846,-122.345,97
250,20140923,260000.0,3,2.0,1810,7209,1.0,0,0,4,7,1240,570,47.3656,-122.27799999999999,36
251,20140513,455000.0,4,2.5,3360,7685,2.0,0,0,3,9,3360,0,47.4369,-122.111,13
252,20150401,415000.0,3,2.25,1510,36224,2.0,0,0,3,8,1510,0,47.4616,-121.711,24
253,20150421,349500.0,3,1.0,1400,3538,1.0,0,0,3,7,800,600,47.5405,-122.27,62
254,20140929,245000.0,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,47.3507,-122.178,27
255,20140519,592500.0,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,47.6979,-122.32,86
256,20141020,385000.0,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,47.5278,-122.345,59
257,20150211,315000.0,3,1.75,1580,11455,1.0,0,0,4,7,1200,380,47.4756,-122.147,41
258,20141124,255000.0,3,1.0,1230,10170,1.0,0,0,3,7,1230,0,47.4437,-121.772,35
259,20140829,693000.0,4,2.5,2460,4425,2.0,0,0,3,8,2460,0,47.7048,-122.109,8
